Protocol,Pool Address,Asset,APY,Base APY,Reward APY,TVL ($),Reward Tokens,APY (1D),APY (7D),APY (30D),Image,App Link
raydium-amm,Gqu8ikcT9gMBenffmb7yQjMKcGrAVAQxTYzyYuqJ8AT8,RS-WSOL,3.53,3.53,0.0,11279,,0.0,-2.9,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
orca-dex,,XMRᅠ-USDT,0.0,0.0,0.0,11275,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
raydium-amm,ETpkgLANJyhyvcV1stX5NbeWK1xmtabQJPTYwsD6kgFq,PIPPIN-USDC,44.6,44.6,0.0,11223,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
orca-dex,,USDT-EUDD,0.0,0.0,0.0,11220,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
raydium-amm,E9ZETCUWsD26v6i8ebnrkNMrbAL46DPFpc4rTtLawBYG,WSOL-MIZUKI,5.37,5.37,0.0,11217,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,79ZfRapqeW8gCa5uYbNN1owxX54hnfxCfWkT45nfAhUY,WSOL-PAIR,7.45,7.45,0.0,11216,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,6rHxtxPyFcHUgAZc7eNPWbi49PVcyBaiV1MPRBuAcxTB,WSOL-BAP,4.68,4.68,0.0,11216,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,248Db2huVxbudaUbzfxJf7dbKuc6YDqLLFg3pUE97Gbq,USDC-ERC20-USDT,46.69,46.69,0.0,11215,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
orca-dex,,SOL-CRCLX,0.0,0.0,0.0,11194,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
orca-dex,,USDC-SPARKS,0.0,0.0,0.0,11186,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
raydium-amm,7ZiHoyy1nuke3SziWxfXgWtJNHxSkNsFSSuRZsVdmwwh,JITOSOL-SPX,5.48,5.48,0.0,11181,,0.0,-0.57,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,H6fxtvWLFYSJ66mPJqoz7cg6tk32Pcgc9vXrywu4LEWk,PYUSD-USDC,0.24,0.24,0.0,11155,,-4.84,-0.72,-0.57,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
kamino-lend,,FDUSD,0.26519,0.26519,0.0,11143,,1e-05,9e-05,-0.02159,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
save,,USDH,0.0,0.0,0.0,11058,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/save,https://www.save.finance/
orca-dex,,USDC-NOPA,0.0,0.0,0.0,11055,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
orca-dex,,SPYX-USDT,5.7399,5.7399,0.0,11053,,2.40308,2.35971,-9.22458,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
raydium-amm,7a8xxAJBELDo6P9dikSYctdw6ce8F4mWr3ahcAD8Ao49,SPYX-STONK,388.41,388.41,0.0,11049,,-93.64,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,4nFbdT7DeXATvaRZfR3WqALGJnogMjqe9vf2H6C1WXBr,WBTC-USDC,4.15,4.15,0.0,11044,,1.55,1.52,-1.24,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
